"Date","FTSE","Yield","Inflation","GDP","RF_rate"
"2002-06-30",-0.00738629996283409,-0.051555310896777,-0.03496898965777,0.0279592697252289,-0.0725332150523688
"2002-07-31",-0.123391656839412,-0.0530780229817707,-0.029109321120522,0.0272057064959373,-0.0545859745919209
"2002-08-31",0.0752107586524836,0.0227884775076332,-0.0232496525832741,0.0264521432666457,0.01157757707383
"2002-09-30",0.0332804069634246,0.00539846070646296,-0.0175790056117438,0.0257228885286216,0.00485266979504153
"2002-10-31",-0.053648236470418,-0.0152864442590942,-0.0117193370744959,0.02496932529933,-0.00867112736019351
"2002-11-30",-0.0980133610069058,-0.0382130368772267,-0.00604869010296562,0.0242400705613059,-0.0455891301986043
"2002-12-31",0.0204274968429912,-0.0410391126844224,-0.000189021565717679,0.0234865073320143,-0.0662913372112926
"2003-01-31",-0.0104754783897366,0.0238851301642523,0.0333258992965615,0.0241066409849187,0.00771566524361744
"2003-02-28",0.0796196583154146,0.0320865303292867,0.0644300719733522,0.0247081203194792,0.0340336902872286
"2003-03-31",0.0323160163820545,-0.0539218919035829,0.098866834579799,0.0253740438684568,-0.0600661061806208
"2003-04-30",-0.00302323532353692,-0.0267213550639422,0.13219273387636,0.0260184860126288,-0.038104806476232
"2003-05-31",0.0296033434847093,0.0662320729333264,0.166629496482807,0.0266844095616064,0.0548415849420981
"2003-06-30",0.00197728395623889,0.0444079974076304,0.199955395779369,0.0273288517057783,0.0960842096459306
"2003-07-31",-0.016339204986801,0.0240902436132758,0.234392158385816,0.027994775254756,0.0297177718825812
"2003-08-31",0.0448069244056856,0.0397717156386947,0.268828920992263,0.0286606988037336,0.0581403038616273
"2003-09-30",0.013883386546157,0.0319591701283012,0.302154820288824,0.0293051409479055,0.0383020515993739
"2003-10-31",0.0298862143100145,-0.0318192507409181,0.336591582895271,0.0299710644968832,-0.0392848576424507
"2003-11-30",-0.0177787866514455,-0.0227943707628394,0.369917482191832,0.0306155066410551,-0.0201657199930481
"2003-12-31",0.0214895037215635,0.00292891324865312,0.404354244798279,0.0312814301900327,0.00358119039438714
"2004-01-31",-0.0224821101918308,-0.0195706655372661,0.386521524422641,0.030991287846192,-0.0146670166362229
"2004-02-29",0.0218011197861458,0.0488946403138445,0.368209393526635,0.0306900515558338,0.0572556139070264
"2004-03-31",-0.0120455588797877,0.0314159299924066,0.348634357051594,0.0303680403488992,0.043200922499465
"2004-04-30",0.00681874182650108,0.017561827599257,0.32969077336607,0.0300564166002528,0.0279591494633717
