Date,Log-return_x,Log-return_y,Log-return_x,Log-return_y
1960-02-29,,,0.024119390126350112,
1960-03-31,,,0.022787263972536432,
1960-04-30,,,0.021498109630136097,
1960-05-31,,,0.020165983476322417,
1960-06-30,,,0.01887682913392208,
1960-07-31,,,0.0175447029801084,
1960-08-31,,,0.01621257682629472,
1960-09-30,,,0.014923422483894385,
1960-10-31,,,0.013591296330080705,
1960-11-30,,,0.012302141987680369,
1960-12-31,,,0.01097001583386669,
1961-01-31,,,0.013929062627025118,
1961-02-28,,,0.016730946657958774,
1961-03-31,,,0.019833032549349608,
1961-04-30,,,0.022835051153921378,
1961-05-31,,,0.02593713704531221,
1961-06-30,,,0.028939155649883988,
1961-07-31,,,0.03204124154127482,
1961-08-31,,,0.035143327432665655,
1961-09-30,,,0.038145346037237425,
1961-10-31,,,0.04124743192862826,
